family,distribution,metric,n,mean,median,variance,std,cv_percent,min,q1,q3,max,range,iqr
fedora,bazzite,system_memory_used_mean_mb,10,971.4415999999999,974.1005,130.8739673777775,11.440016056709776,1.1776329175845237,954.164,962.6912500000001,976.15375,992.459,38.29499999999996,13.462499999999864
fedora,bazzite,system_memory_used_peak_mb,10,996.6544,998.5175,147.41942137777798,12.141639978922862,1.218239740769003,978.91,987.48075,1002.2025,1019.801,40.891000000000076,14.721750000000043
fedora,bazzite,threads_mean,10,16.67,16.5,0.20233333333333325,0.44981477669517844,2.698348990372996,16.0,16.5,17.1,17.2,1.1999999999999993,0.6000000000000014
fedora,bazzite,threads_peak,10,19.0,19.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,0.0,0.0
fedora,bazzite,elapsed_s,10,10.0094,10.0095,2.7111111111115796e-06,0.0016465452046972714,0.016449989057258894,10.007,10.00825,10.01,10.013,0.006000000000000227,0.0017499999999994742
fedora,bazzite,samples,10,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0
debian,debian,process_cpu_mean_percent,10,323.975,323.485,2.2634944444444245,1.5044914238520686,0.4643850370714001,322.26,322.7325,325.49,326.02,3.759999999999991,2.757499999999993
debian,debian,process_cpu_peak_percent,10,352.91,352.8,3.7143333333333066,1.9272605774345375,0.5461054029170432,349.8,351.575,354.375,355.8,6.0,2.8000000000000114
debian,debian,system_cpu_mean_percent,10,80.911,80.775,0.15076555555555593,0.38828540476762186,0.4798919859693019,80.45,80.58,81.3275,81.4,0.9500000000000028,0.7475000000000023
debian,debian,system_cpu_peak_percent,10,88.07000000000001,88.1,0.22900000000000004,0.478539444560216,0.5433626031114068,87.2,87.8,88.45,88.7,1.5,0.6500000000000057
debian,debian,process_rss_mean_mb,10,312.7401,312.6855,1.224132099999976,1.1064050343341612,0.3537777964303782,311.208,311.8915,313.36625000000004,314.852,3.6439999999999486,1.4747500000000286
debian,debian,process_rss_peak_mb,10,348.77689999999996,349.115,1.5455905444444338,1.243217818583869,0.35645073357320084,346.359,348.2275,349.801,350.094,3.7350000000000136,1.5734999999999673
debian,debian,system_memory_used_mean_mb,10,739.4489000000001,738.98,45.46130498888905,6.742499906480463,0.9118277012083542,728.188,735.593,743.22725,751.586,23.398000000000025,7.6342500000000655
